label,precision,recall,f1-score
building-hotel,0.662745,0.637736,0.650000
location-GPE,0.796776,0.831967,0.813991
organization-showorganization,0.584000,0.574803,0.579365
building-sportsfacility,0.569257,0.802381,0.666008
person-soldier,0.523664,0.530139,0.526882
organization-other,0.475010,0.514196,0.493827
person-artist/author,0.706374,0.710679,0.708520
product-car,0.658999,0.707849,0.682551
person-other,0.626572,0.705573,0.663730
product-other,0.413333,0.384377,0.398330
organization-media/newspaper,0.561462,0.684765,0.617014
art-writtenart,0.647299,0.615907,0.631213
other-livingthing,0.547453,0.635731,0.588298
event-attack/battle/war/militaryconflict,0.694974,0.729754,0.711940
person-politician,0.654283,0.666667,0.660417
organization-politicalparty,0.597321,0.717124,0.651763
organization-education,0.744091,0.787019,0.764953
event-sportsevent,0.520833,0.588422,0.552569
organization-sportsteam,0.654521,0.783205,0.713104
location-mountain,0.696925,0.698972,0.697947
other-disease,0.596871,0.661333,0.627451
other-biologything,0.617131,0.637867,0.627328
person-athlete,0.846540,0.823222,0.834718
organization-company,0.606473,0.696310,0.648294
other-chemicalthing,0.557000,0.551485,0.554229
organization-religion,0.479319,0.583704,0.526386
building-airport,0.787013,0.832418,0.809079
art-music,0.794681,0.718269,0.754545
building-other,0.466001,0.586572,0.519381
location-other,0.350187,0.256164,0.295886
other-educationaldegree,0.472851,0.569482,0.516687
location-road/railway/highway/transit,0.640741,0.711516,0.674276
event-disaster,0.424908,0.560386,0.483333
location-bodiesofwater,0.692881,0.715997,0.704249
location-park,0.673660,0.631004,0.651635
product-food,0.523282,0.546296,0.534541
organization-government/governmentagency,0.434694,0.416287,0.425291
product-airplane,0.604423,0.621212,0.612702
event-election,0.240741,0.282609,0.260000
art-broadcastprogram,0.506747,0.559603,0.531865
product-game,0.670732,0.665323,0.668016
product-train,0.477778,0.547771,0.510386
building-theater,0.631193,0.754386,0.687313
location-island,0.683788,0.659443,0.671395
event-protest,0.310219,0.512048,0.386364
other-award,0.558325,0.595112,0.576132
product-ship,0.593607,0.684211,0.635697
event-other,0.346375,0.345183,0.345778
person-director,0.685470,0.723827,0.704126
art-film,0.699387,0.750988,0.724269
other-law,0.569420,0.663934,0.613056
other-god,0.702303,0.672441,0.687047
building-hospital,0.674641,0.774725,0.721228
other-medical,0.447826,0.518892,0.480747
product-software,0.598326,0.644870,0.620727
other-language,0.692778,0.751660,0.721019
building-restaurant,0.453659,0.400862,0.425629
other-astronomything,0.768345,0.787611,0.777859
person-scholar,0.586449,0.337820,0.428693
organization-sportsleague,0.576253,0.597740,0.586800
person-actor,0.823155,0.789988,0.806231
other-currency,0.723598,0.694618,0.708812
building-library,0.706667,0.742297,0.724044
art-other,0.323680,0.333919,0.328720
product-weapon,0.534314,0.523200,0.528698
art-painting,0.404762,0.586207,0.478873
